node03b3c753299e86e66647c895992d2f1.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un50j5200a---0.5873015873015873
Predicted Answer:sony xbr65x800b---0.2696078431372549
Predicted Answer:samsung un60js7000---0.41904761904761906
Predicted Answer:samsung un55js8500f---0.34299516908212563
Predicted Answer:vizio d43-d2---0.3253968253968254
Predicted Answer:sony xbr65x900b---0.3333333333333333
Predicted Answer:sony xbr65x900c---0.2802197802197802
Predicted Answer:samsung un48ju6400---0.44086021505376344
Predicted Answer:sony xbr65hx929---0.30935251798561153
Predicted Answer:sony xbr55x850d---0.22815533980582525
Predicted Answer:sony xbr55x850c---0.30434782608695654
Predicted Answer:samsung un55js9000f---0.36496350364963503
Predicted Answer:sony xbr55x850b---0.3050847457627119
Predicted Answer:samsung un60j6200a---0.5735294117647058
Predicted Answer:samsung un40es6100---0.4716981132075472
Predicted Answer:samsung un50j6300---0.5148514851485149
Predicted Answer:lg 55eg9600---0.26973684210526316
Predicted Answer:sony xbr79x900b---0.2463768115942029
Predicted Answer:gpx tde1982b---0.3541666666666667
Predicted Answer:lg 65eg9600---0.2734375
Predicted Answer:sony xbr55x810c---0.32989690721649484
Predicted Answer:samsung un40ju6700---0.4105263157894737
Predicted Answer:samsung un50js7000---0.42
Predicted Answer:sony xbr43x830c---0.3333333333333333
Predicted Answer:samsung un55hu6840---0.4649122807017544
Predicted Answer:samsung un55j6200a---0.5972222222222222
Predicted Answer:samsung un40eh5300---0.39072847682119205
Predicted Answer:samsung un55hu8500---0.47435897435897434
Predicted Answer:sony xbr65x810c---0.2976190476190476
Predicted Answer:sony xbr65x850a---0.24154589371980675
Predicted Answer:sony xbr49x830c---0.33816425120772947
Predicted Answer:lg 49uf6400---0.3939393939393939
Predicted Answer:sony xbr65x850c---0.33816425120772947
Predicted Answer:sony xbr70x850b---0.25853658536585367
Predicted Answer:lg 40lf6300---0.4069767441860465
Predicted Answer:sony xbr55x900c---0.2571428571428571
Predicted Answer:gpx tde3253b---0.38571428571428573
Predicted Answer:samsung un65h7150---0.5263157894736842
Predicted Answer:samsung un65ju7100---0.4016393442622951
Predicted Answer:vizio d50u-d1---0.2648648648648649
node2b98c545e891f1a6ed225e43ae7afb.html
Right Answer:sony xbr55x850c
Predicted Answer:samsung un55ju7100f---0.3
Predicted Answer:vizio d48-d0---0.2
Predicted Answer:samsung un60eh6003---0.2
Predicted Answer:samsung un60ju7100---0.3
Predicted Answer:sony xbr65x930c---0.45
Predicted Answer:samsung un50ju7100---0.4
Predicted Answer:sony xbr65x930d---0.35
Predicted Answer:sony xbr65x950b---0.45
Predicted Answer:vizio d43-c1---0.25
Predicted Answer:samsung un55ju6500---0.4
Predicted Answer:gpx te1384b---0.15
Predicted Answer:sony xbr55x800b---0.35
Predicted Answer:gpx tde1380b---0.15
Predicted Answer:samsung un32eh5300---0.25
Predicted Answer:samsung un40ju6400---0.3
Predicted Answer:lg 43uf6400---0.4
Predicted Answer:gpx tde1384b---0.15
Predicted Answer:lg 55eg9100---0.5
Predicted Answer:samsung un50eh5300---0.3
Predicted Answer:samsung un65h6350---0.2
Predicted Answer:samsung un50j5200a---0.15
Predicted Answer:sony xbr65x800b---0.3
Predicted Answer:samsung un60js7000---0.2
Predicted Answer:samsung un55js8500f---0.45
Predicted Answer:vizio d43-d2---0.2
Predicted Answer:sony xbr65x900b---0.5
Predicted Answer:sony xbr65x900c---0.35
Predicted Answer:samsung un48ju6400---0.3
Predicted Answer:sony xbr65hx929---0.3
Predicted Answer:sony xbr55x850d---0.5
Predicted Answer:sony xbr55x850c---0.5
Predicted Answer:samsung un55js9000f---0.4
Predicted Answer:sony xbr55x850b---0.45
Predicted Answer:samsung un60j6200a---0.15
Predicted Answer:samsung un40es6100---0.2
Predicted Answer:samsung un50j6300---0.2
Predicted Answer:lg 55eg9600---0.45
Predicted Answer:sony xbr79x900b---0.55
Predicted Answer:gpx tde1982b---0.25
Predicted Answer:lg 65eg9600---0.4
Predicted Answer:sony xbr55x810c---0.4
Predicted Answer:samsung un40ju6700---0.25
Predicted Answer:samsung un50js7000---0.25
Predicted Answer:sony xbr43x830c---0.45
Predicted Answer:samsung un55hu6840---0.4
Predicted Answer:samsung un55j6200a---0.25
Predicted Answer:samsung un40eh5300---0.25
Predicted Answer:samsung un55hu8500---0.35
Predicted Answer:sony xbr65x810c---0.35
Predicted Answer:sony xbr65x850a---0.55
Predicted Answer:sony xbr49x830c---0.45
Predicted Answer:lg 49uf6400---0.35
Predicted Answer:sony xbr65x850c---0.55
Predicted Answer:sony xbr70x850b---0.45
Predicted Answer:lg 40lf6300---0.2
Predicted Answer:sony xbr55x900c---0.45
Predicted Answer:gpx tde3253b---0.15
Predicted Answer:samsung un65h7150---0.25
Predicted Answer:samsung un65ju7100---0.3
Predicted Answer:vizio d50u-d1---0.4
node2bd43e72e5222c9e0233ceaa75684f.html
Right Answer:vizio d43-c1
Predicted Answer:samsung un55ju7100f---0.23076923076923078
Predicted Answer:vizio d48-d0---0.3076923076923077
Predicted Answer:samsung un60eh6003---0.3076923076923077
Predicted Answer:samsung un60ju7100---0.23076923076923078
Predicted Answer:sony xbr65x930c---0.15384615384615385
Predicted Answer:samsung un50ju7100---0.23076923076923078
Predicted Answer:sony xbr65x930d---0.15384615384615385
Predicted Answer:sony xbr65x950b---0.23076923076923078
Predicted Answer:vizio d43-c1---0.6153846153846154
Predicted Answer:samsung un55ju6500---0.15384615384615385
Predicted Answer:gpx te1384b---0.15384615384615385
Predicted Answer:sony xbr55x800b---0.15384615384615385
Predicted Answer:gpx tde1380b---0.23076923076923078
Predicted Answer:samsung un32eh5300---0.23076923076923078
Predicted Answer:samsung un40ju6400---0.23076923076923078
Predicted Answer:lg 43uf6400---0.38461538461538464
Predicted Answer:gpx tde1384b---0.23076923076923078
Predicted Answer:lg 55eg9100---0.3076923076923077
Predicted Answer:samsung un50eh5300---0.3076923076923077
Predicted Answer:samsung un65h6350---0.23076923076923078
Predicted Answer:samsung un50j5200a---0.23076923076923078
Predicted Answer:sony xbr65x800b---0.15384615384615385
Predicted Answer:samsung un60js7000---0.15384615384615385
Predicted Answer:samsung un55js8500f---0.23076923076923078
Predicted Answer:vizio d43-d2---0.46153846153846156
Predicted Answer:sony xbr65x900b---0.23076923076923078
Predicted Answer:sony xbr65x900c---0.23076923076923078
Predicted Answer:samsung un48ju6400---0.23076923076923078
Predicted Answer:sony xbr65hx929---0.23076923076923078
Predicted Answer:sony xbr55x850d---0.23076923076923078
Predicted Answer:sony xbr55x850c---0.15384615384615385
Predicted Answer:samsung un55js9000f---0.15384615384615385
Predicted Answer:sony xbr55x850b---0.15384615384615385
Predicted Answer:samsung un60j6200a---0.23076923076923078
Predicted Answer:samsung un40es6100---0.3076923076923077
Predicted Answer:samsung un50j6300---0.23076923076923078
Predicted Answer:lg 55eg9600---0.15384615384615385
Predicted Answer:sony xbr79x900b---0.23076923076923078
Predicted Answer:gpx tde1982b---0.3076923076923077
Predicted Answer:lg 65eg9600---0.15384615384615385
Predicted Answer:sony xbr55x810c---0.15384615384615385
Predicted Answer:samsung un40ju6700---0.15384615384615385
Predicted Answer:samsung un50js7000---0.15384615384615385
Predicted Answer:sony xbr43x830c---0.23076923076923078
Predicted Answer:samsung un55hu6840---0.23076923076923078
Predicted Answer:samsung un55j6200a---0.23076923076923078
Predicted Answer:samsung un40eh5300---0.3076923076923077
Predicted Answer:samsung un55hu8500---0.15384615384615385
Predicted Answer:sony xbr65x810c---0.15384615384615385
Predicted Answer:sony xbr65x850a---0.3076923076923077
Predicted Answer:sony xbr49x830c---0.23076923076923078
Predicted Answer:lg 49uf6400---0.23076923076923078
Predicted Answer:sony xbr65x850c---0.23076923076923078
Predicted Answer:sony xbr70x850b---0.15384615384615385
Predicted Answer:lg 40lf6300---0.23076923076923078
Predicted Answer:sony xbr55x900c---0.15384615384615385
Predicted Answer:gpx tde3253b---0.23076923076923078
Predicted Answer:samsung un65h7150---0.23076923076923078
Predicted Answer:samsung un65ju7100---0.23076923076923078
Predicted Answer:vizio d50u-d1---0.38461538461538464
node2c2c91c4237d53da1f0ddd8b58ce2b2.html
Right Answer:samsung un40ju6400
Predicted Answer:samsung un55ju7100f---0.5333333333333333
Predicted Answer:vizio d48-d0---0.3333333333333333
Predicted Answer:samsung un60eh6003---0.3333333333333333
Predicted Answer:samsung un60ju7100---0.5333333333333333
Predicted Answer:sony xbr65x930c---0.5333333333333333
Predicted Answer:samsung un50ju7100---0.5333333333333333
Predicted Answer:sony xbr65x930d---0.4666666666666667
Predicted Answer:sony xbr65x950b---0.6
Predicted Answer:vizio d43-c1---0.4
Predicted Answer:samsung un55ju6500---0.4666666666666667
Predicted Answer:gpx te1384b---0.3333333333333333
Predicted Answer:sony xbr55x800b---0.5333333333333333
Predicted Answer:gpx tde1380b---0.3333333333333333
Predicted Answer:samsung un32eh5300---0.26666666666666666
Predicted Answer:samsung un40ju6400---0.6
Predicted Answer:lg 43uf6400---0.6
Predicted Answer:gpx tde1384b---0.3333333333333333
Predicted Answer:lg 55eg9100---0.26666666666666666
Predicted Answer:samsung un50eh5300---0.3333333333333333
Predicted Answer:samsung un65h6350---0.26666666666666666
Predicted Answer:samsung un50j5200a---0.26666666666666666
Predicted Answer:sony xbr65x800b---0.5333333333333333
Predicted Answer:samsung un60js7000---0.4
Predicted Answer:samsung un55js8500f---0.4666666666666667
Predicted Answer:vizio d43-d2---0.3333333333333333
Predicted Answer:sony xbr65x900b---0.5333333333333333
Predicted Answer:sony xbr65x900c---0.6
Predicted Answer:samsung un48ju6400---0.5333333333333333
Predicted Answer:sony xbr65hx929---0.3333333333333333
Predicted Answer:sony xbr55x850d---0.4666666666666667
Predicted Answer:sony xbr55x850c---0.26666666666666666
Predicted Answer:samsung un55js9000f---0.4
Predicted Answer:sony xbr55x850b---0.26666666666666666
Predicted Answer:samsung un60j6200a---0.26666666666666666
Predicted Answer:samsung un40es6100---0.4
Predicted Answer:samsung un50j6300---0.26666666666666666
Predicted Answer:lg 55eg9600---0.3333333333333333
Predicted Answer:sony xbr79x900b---0.6
Predicted Answer:gpx tde1982b---0.4
Predicted Answer:lg 65eg9600---0.3333333333333333
Predicted Answer:sony xbr55x810c---0.5333333333333333
Predicted Answer:samsung un40ju6700---0.5333333333333333
Predicted Answer:samsung un50js7000---0.4
Predicted Answer:sony xbr43x830c---0.5333333333333333
Predicted Answer:samsung un55hu6840---0.5333333333333333
Predicted Answer:samsung un55j6200a---0.26666666666666666
Predicted Answer:samsung un40eh5300---0.4
Predicted Answer:samsung un55hu8500---0.6
Predicted Answer:sony xbr65x810c---0.5333333333333333
Predicted Answer:sony xbr65x850a---0.6666666666666666
Predicted Answer:sony xbr49x830c---0.5333333333333333
Predicted Answer:lg 49uf6400---0.4666666666666667
Predicted Answer:sony xbr65x850c---0.6
Predicted Answer:sony xbr70x850b---0.5333333333333333
Predicted Answer:lg 40lf6300---0.2
Predicted Answer:sony xbr55x900c---0.5333333333333333
Predicted Answer:gpx tde3253b---0.3333333333333333
Predicted Answer:samsung un65h7150---0.26666666666666666
Predicted Answer:samsung un65ju7100---0.5333333333333333
Predicted Answer:vizio d50u-d1---0.6
node2c2db2ec198332f5df4bd07dde40352b.html
Right Answer:accessory_samsung
Predicted Answer:samsung un55ju7100f---0.2222222222222222
Predicted Answer:vizio d48-d0---0.0
Predicted Answer:samsung un60eh6003---0.2222222222222222
Predicted Answer:samsung un60ju7100---0.2222222222222222
Predicted Answer:sony xbr65x930c---0.0
Predicted Answer:samsung un50ju7100---0.2222222222222222
Predicted Answer:sony xbr65x930d---0.0
Predicted Answer:sony xbr65x950b---0.1111111111111111
Predicted Answer:vizio d43-c1---0.1111111111111111
Predicted Answer:samsung un55ju6500---0.1111111111111111
Predicted Answer:gpx te1384b---0.1111111111111111
Predicted Answer:sony xbr55x800b---0.0
Predicted Answer:gpx tde1380b---0.0
Predicted Answer:samsung un32eh5300---0.1111111111111111
Predicted Answer:samsung un40ju6400---0.2222222222222222
Predicted Answer:lg 43uf6400---0.1111111111111111
Predicted Answer:gpx tde1384b---0.1111111111111111
Predicted Answer:lg 55eg9100---0.2222222222222222
Predicted Answer:samsung un50eh5300---0.2222222222222222
Predicted Answer:samsung un65h6350---0.1111111111111111
Predicted Answer:samsung un50j5200a---0.1111111111111111
Predicted Answer:sony xbr65x800b---0.0
Predicted Answer:samsung un60js7000---0.1111111111111111
Predicted Answer:samsung un55js8500f---0.2222222222222222
Predicted Answer:vizio d43-d2---0.0
Predicted Answer:sony xbr65x900b---0.0
Predicted Answer:sony xbr65x900c---0.1111111111111111
Predicted Answer:samsung un48ju6400---0.2222222222222222
Predicted Answer:sony xbr65hx929---0.0
Predicted Answer:sony xbr55x850d---0.0
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.1111111111111111
Predicted Answer:sony xbr55x850b---0.1111111111111111
Predicted Answer:samsung un60j6200a---0.1111111111111111
Predicted Answer:samsung un40es6100---0.2222222222222222
Predicted Answer:samsung un50j6300---0.1111111111111111
Predicted Answer:lg 55eg9600---0.2222222222222222
Predicted Answer:sony xbr79x900b---0.1111111111111111
Predicted Answer:gpx tde1982b---0.2222222222222222
Predicted Answer:lg 65eg9600---0.2222222222222222
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.1111111111111111
Predicted Answer:samsung un50js7000---0.1111111111111111
Predicted Answer:sony xbr43x830c---0.0
Predicted Answer:samsung un55hu6840---0.2222222222222222
Predicted Answer:samsung un55j6200a---0.1111111111111111
Predicted Answer:samsung un40eh5300---0.2222222222222222
Predicted Answer:samsung un55hu8500---0.1111111111111111
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.2222222222222222
Predicted Answer:sony xbr49x830c---0.0
Predicted Answer:lg 49uf6400---0.1111111111111111
Predicted Answer:sony xbr65x850c---0.2222222222222222
Predicted Answer:sony xbr70x850b---0.1111111111111111
Predicted Answer:lg 40lf6300---0.0
Predicted Answer:sony xbr55x900c---0.0
Predicted Answer:gpx tde3253b---0.0
Predicted Answer:samsung un65h7150---0.1111111111111111
Predicted Answer:samsung un65ju7100---0.2222222222222222
Predicted Answer:vizio d50u-d1---0.1111111111111111
node2c7dd6152dcb2320cc883835f1389ee7.html
Right Answer:lg 55eg9600
Predicted Answer:samsung un55ju7100f---0.24691358024691357
Predicted Answer:vizio d48-d0---0.1897810218978102
Predicted Answer:samsung un60eh6003---0.18791946308724833
Predicted Answer:samsung un60ju7100---0.2331288343558282
Predicted Answer:sony xbr65x930c---0.185
Predicted Answer:samsung un50ju7100---0.21893491124260356
Predicted Answer:sony xbr65x930d---0.16560509554140126
Predicted Answer:sony xbr65x950b---0.185
Predicted Answer:vizio d43-c1---0.1956521739130435
Predicted Answer:samsung un55ju6500---0.2392638036809816
Predicted Answer:gpx te1384b---0.19811320754716982
Predicted Answer:sony xbr55x800b---0.20100502512562815
Predicted Answer:gpx tde1380b---0.14516129032258066
Predicted Answer:samsung un32eh5300---0.2196969696969697
Predicted Answer:samsung un40ju6400---0.2631578947368421
Predicted Answer:lg 43uf6400---0.272
Predicted Answer:gpx tde1384b---0.19811320754716982
Predicted Answer:lg 55eg9100---0.26
Predicted Answer:samsung un50eh5300---0.20270270270270271
Predicted Answer:samsung un65h6350---0.18556701030927836
Predicted Answer:samsung un50j5200a---0.25396825396825395
Predicted Answer:sony xbr65x800b---0.19
Predicted Answer:samsung un60js7000---0.23809523809523808
Predicted Answer:samsung un55js8500f---0.26
Predicted Answer:vizio d43-d2---0.1746031746031746
Predicted Answer:sony xbr65x900b---0.2
Predicted Answer:sony xbr65x900c---0.17582417582417584
Predicted Answer:samsung un48ju6400---0.26881720430107525
Predicted Answer:sony xbr65hx929---0.18705035971223022
Predicted Answer:sony xbr55x850d---0.19
Predicted Answer:sony xbr55x850c---0.1956521739130435
Predicted Answer:samsung un55js9000f---0.22627737226277372
Predicted Answer:sony xbr55x850b---0.22033898305084745
Predicted Answer:samsung un60j6200a---0.2647058823529412
Predicted Answer:samsung un40es6100---0.22641509433962265
Predicted Answer:samsung un50j6300---0.16831683168316833
Predicted Answer:lg 55eg9600---0.4276315789473684
Predicted Answer:sony xbr79x900b---0.195
Predicted Answer:gpx tde1982b---0.16666666666666666
Predicted Answer:lg 65eg9600---0.2734375
Predicted Answer:sony xbr55x810c---0.26804123711340205
Predicted Answer:samsung un40ju6700---0.25263157894736843
Predicted Answer:samsung un50js7000---0.23
Predicted Answer:sony xbr43x830c---0.2
Predicted Answer:samsung un55hu6840---0.32456140350877194
Predicted Answer:samsung un55j6200a---0.2916666666666667
Predicted Answer:samsung un40eh5300---0.15894039735099338
Predicted Answer:samsung un55hu8500---0.27564102564102566
Predicted Answer:sony xbr65x810c---0.23809523809523808
Predicted Answer:sony xbr65x850a---0.18
Predicted Answer:sony xbr49x830c---0.205
Predicted Answer:lg 49uf6400---0.31313131313131315
Predicted Answer:sony xbr65x850c---0.235
Predicted Answer:sony xbr70x850b---0.17
Predicted Answer:lg 40lf6300---0.19767441860465115
Predicted Answer:sony xbr55x900c---0.17142857142857143
Predicted Answer:gpx tde3253b---0.17142857142857143
Predicted Answer:samsung un65h7150---0.27631578947368424
Predicted Answer:samsung un65ju7100---0.2540983606557377
Predicted Answer:vizio d50u-d1---0.22162162162162163
node2c847321801b46d2242aa6d54992d8.html
Right Answer:accessory_lg
Predicted Answer:samsung un55ju7100f---0.3333333333333333
Predicted Answer:vizio d48-d0---0.26666666666666666
Predicted Answer:samsung un60eh6003---0.3333333333333333
Predicted Answer:samsung un60ju7100---0.4
Predicted Answer:sony xbr65x930c---0.3333333333333333
Predicted Answer:samsung un50ju7100---0.4
Predicted Answer:sony xbr65x930d---0.26666666666666666
Predicted Answer:sony xbr65x950b---0.4
Predicted Answer:vizio d43-c1---0.26666666666666666
Predicted Answer:samsung un55ju6500---0.26666666666666666
Predicted Answer:gpx te1384b---0.3333333333333333
Predicted Answer:sony xbr55x800b---0.2
Predicted Answer:gpx tde1380b---0.2
Predicted Answer:samsung un32eh5300---0.3333333333333333
Predicted Answer:samsung un40ju6400---0.3333333333333333
Predicted Answer:lg 43uf6400---0.4
Predicted Answer:gpx tde1384b---0.26666666666666666
Predicted Answer:lg 55eg9100---0.4666666666666667
Predicted Answer:samsung un50eh5300---0.3333333333333333
Predicted Answer:samsung un65h6350---0.26666666666666666
Predicted Answer:samsung un50j5200a---0.26666666666666666
Predicted Answer:sony xbr65x800b---0.2
Predicted Answer:samsung un60js7000---0.26666666666666666
Predicted Answer:samsung un55js8500f---0.4666666666666667
Predicted Answer:vizio d43-d2---0.26666666666666666
Predicted Answer:sony xbr65x900b---0.3333333333333333
Predicted Answer:sony xbr65x900c---0.26666666666666666
Predicted Answer:samsung un48ju6400---0.3333333333333333
Predicted Answer:sony xbr65hx929---0.26666666666666666
Predicted Answer:sony xbr55x850d---0.3333333333333333
Predicted Answer:sony xbr55x850c---0.26666666666666666
Predicted Answer:samsung un55js9000f---0.3333333333333333
Predicted Answer:sony xbr55x850b---0.26666666666666666
Predicted Answer:samsung un60j6200a---0.26666666666666666
Predicted Answer:samsung un40es6100---0.3333333333333333
Predicted Answer:samsung un50j6300---0.26666666666666666
Predicted Answer:lg 55eg9600---0.4666666666666667
Predicted Answer:sony xbr79x900b---0.4
Predicted Answer:gpx tde1982b---0.4666666666666667
Predicted Answer:lg 65eg9600---0.4666666666666667
Predicted Answer:sony xbr55x810c---0.26666666666666666
Predicted Answer:samsung un40ju6700---0.26666666666666666
Predicted Answer:samsung un50js7000---0.26666666666666666
Predicted Answer:sony xbr43x830c---0.3333333333333333
Predicted Answer:samsung un55hu6840---0.3333333333333333
Predicted Answer:samsung un55j6200a---0.26666666666666666
Predicted Answer:samsung un40eh5300---0.3333333333333333
Predicted Answer:samsung un55hu8500---0.4
Predicted Answer:sony xbr65x810c---0.26666666666666666
Predicted Answer:sony xbr65x850a---0.4
Predicted Answer:sony xbr49x830c---0.3333333333333333
Predicted Answer:lg 49uf6400---0.4
Predicted Answer:sony xbr65x850c---0.5333333333333333
Predicted Answer:sony xbr70x850b---0.3333333333333333
Predicted Answer:lg 40lf6300---0.3333333333333333
Predicted Answer:sony xbr55x900c---0.26666666666666666
Predicted Answer:gpx tde3253b---0.2
Predicted Answer:samsung un65h7150---0.3333333333333333
Predicted Answer:samsung un65ju7100---0.3333333333333333
Predicted Answer:vizio d50u-d1---0.3333333333333333
node2cd04c19b982b0c9e0402dab9ff38af2.html
Right Answer:accessory_gpx
Predicted Answer:samsung un55ju7100f---0.14285714285714285
Predicted Answer:vizio d48-d0---0.0
Predicted Answer:samsung un60eh6003---0.14285714285714285
Predicted Answer:samsung un60ju7100---0.14285714285714285
Predicted Answer:sony xbr65x930c---0.0
Predicted Answer:samsung un50ju7100---0.14285714285714285
Predicted Answer:sony xbr65x930d---0.0
Predicted Answer:sony xbr65x950b---0.14285714285714285
Predicted Answer:vizio d43-c1---0.14285714285714285
Predicted Answer:samsung un55ju6500---0.0
Predicted Answer:gpx te1384b---0.14285714285714285
Predicted Answer:sony xbr55x800b---0.0
Predicted Answer:gpx tde1380b---0.14285714285714285
Predicted Answer:samsung un32eh5300---0.0
Predicted Answer:samsung un40ju6400---0.14285714285714285
Predicted Answer:lg 43uf6400---0.14285714285714285
Predicted Answer:gpx tde1384b---0.14285714285714285
Predicted Answer:lg 55eg9100---0.14285714285714285
Predicted Answer:samsung un50eh5300---0.14285714285714285
Predicted Answer:samsung un65h6350---0.0
Predicted Answer:samsung un50j5200a---0.0
Predicted Answer:sony xbr65x800b---0.0
Predicted Answer:samsung un60js7000---0.0
Predicted Answer:samsung un55js8500f---0.14285714285714285
Predicted Answer:vizio d43-d2---0.0
Predicted Answer:sony xbr65x900b---0.0
Predicted Answer:sony xbr65x900c---0.14285714285714285
Predicted Answer:samsung un48ju6400---0.14285714285714285
Predicted Answer:sony xbr65hx929---0.0
Predicted Answer:sony xbr55x850d---0.0
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.0
Predicted Answer:sony xbr55x850b---0.0
Predicted Answer:samsung un60j6200a---0.0
Predicted Answer:samsung un40es6100---0.14285714285714285
Predicted Answer:samsung un50j6300---0.0
Predicted Answer:lg 55eg9600---0.14285714285714285
Predicted Answer:sony xbr79x900b---0.14285714285714285
Predicted Answer:gpx tde1982b---0.2857142857142857
Predicted Answer:lg 65eg9600---0.14285714285714285
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.0
Predicted Answer:samsung un50js7000---0.0
Predicted Answer:sony xbr43x830c---0.0
Predicted Answer:samsung un55hu6840---0.14285714285714285
Predicted Answer:samsung un55j6200a---0.0
Predicted Answer:samsung un40eh5300---0.14285714285714285
Predicted Answer:samsung un55hu8500---0.0
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.2857142857142857
Predicted Answer:sony xbr49x830c---0.0
Predicted Answer:lg 49uf6400---0.14285714285714285
Predicted Answer:sony xbr65x850c---0.14285714285714285
Predicted Answer:sony xbr70x850b---0.0
Predicted Answer:lg 40lf6300---0.0
Predicted Answer:sony xbr55x900c---0.0
Predicted Answer:gpx tde3253b---0.14285714285714285
Predicted Answer:samsung un65h7150---0.0
Predicted Answer:samsung un65ju7100---0.14285714285714285
Predicted Answer:vizio d50u-d1---0.14285714285714285
node2dcce98767cd35fedd507a7ae7217587.html
Right Answer:accessory_samsung
Predicted Answer:samsung un55ju7100f---0.4
Predicted Answer:vizio d48-d0---0.1
Predicted Answer:samsung un60eh6003---0.4
Predicted Answer:samsung un60ju7100---0.4
Predicted Answer:sony xbr65x930c---0.1
Predicted Answer:samsung un50ju7100---0.3
Predicted Answer:sony xbr65x930d---0.1
Predicted Answer:sony xbr65x950b---0.2
Predicted Answer:vizio d43-c1---0.2
Predicted Answer:samsung un55ju6500---0.3
Predicted Answer:gpx te1384b---0.2
Predicted Answer:sony xbr55x800b---0.1
Predicted Answer:gpx tde1380b---0.1
Predicted Answer:samsung un32eh5300---0.3
Predicted Answer:samsung un40ju6400---0.3
Predicted Answer:lg 43uf6400---0.4
Predicted Answer:gpx tde1384b---0.1
Predicted Answer:lg 55eg9100---0.2
Predicted Answer:samsung un50eh5300---0.4
Predicted Answer:samsung un65h6350---0.2
Predicted Answer:samsung un50j5200a---0.2
Predicted Answer:sony xbr65x800b---0.1
Predicted Answer:samsung un60js7000---0.2
Predicted Answer:samsung un55js8500f---0.4
Predicted Answer:vizio d43-d2---0.2
Predicted Answer:sony xbr65x900b---0.2
Predicted Answer:sony xbr65x900c---0.2
Predicted Answer:samsung un48ju6400---0.3
Predicted Answer:sony xbr65hx929---0.1
Predicted Answer:sony xbr55x850d---0.1
Predicted Answer:sony xbr55x850c---0.1
Predicted Answer:samsung un55js9000f---0.2
Predicted Answer:sony xbr55x850b---0.1
Predicted Answer:samsung un60j6200a---0.2
Predicted Answer:samsung un40es6100---0.3
Predicted Answer:samsung un50j6300---0.2
Predicted Answer:lg 55eg9600---0.3
Predicted Answer:sony xbr79x900b---0.2
Predicted Answer:gpx tde1982b---0.2
Predicted Answer:lg 65eg9600---0.2
Predicted Answer:sony xbr55x810c---0.1
Predicted Answer:samsung un40ju6700---0.2
Predicted Answer:samsung un50js7000---0.2
Predicted Answer:sony xbr43x830c---0.1
Predicted Answer:samsung un55hu6840---0.4
Predicted Answer:samsung un55j6200a---0.2
Predicted Answer:samsung un40eh5300---0.4
Predicted Answer:samsung un55hu8500---0.3
Predicted Answer:sony xbr65x810c---0.1
Predicted Answer:sony xbr65x850a---0.3
Predicted Answer:sony xbr49x830c---0.1
Predicted Answer:lg 49uf6400---0.3
Predicted Answer:sony xbr65x850c---0.2
Predicted Answer:sony xbr70x850b---0.1
Predicted Answer:lg 40lf6300---0.1
Predicted Answer:sony xbr55x900c---0.1
Predicted Answer:gpx tde3253b---0.1
Predicted Answer:samsung un65h7150---0.2
Predicted Answer:samsung un65ju7100---0.3
Predicted Answer:vizio d50u-d1---0.2
node2edd5d60bc7df9856386cc2b4d3bdfd.html
Right Answer:accessory_samsung
Predicted Answer:samsung un55ju7100f---0.21428571428571427
Predicted Answer:vizio d48-d0---0.07142857142857142
Predicted Answer:samsung un60eh6003---0.21428571428571427
Predicted Answer:samsung un60ju7100---0.21428571428571427
Predicted Answer:sony xbr65x930c---0.14285714285714285
Predicted Answer:samsung un50ju7100---0.21428571428571427
Predicted Answer:sony xbr65x930d---0.14285714285714285
Predicted Answer:sony xbr65x950b---0.21428571428571427
Predicted Answer:vizio d43-c1---0.14285714285714285
Predicted Answer:samsung un55ju6500---0.14285714285714285
Predicted Answer:gpx te1384b---0.07142857142857142
Predicted Answer:sony xbr55x800b---0.07142857142857142
Predicted Answer:gpx tde1380b---0.07142857142857142
Predicted Answer:samsung un32eh5300---0.14285714285714285
Predicted Answer:samsung un40ju6400---0.21428571428571427
Predicted Answer:lg 43uf6400---0.14285714285714285
Predicted Answer:gpx tde1384b---0.07142857142857142
Predicted Answer:lg 55eg9100---0.14285714285714285
Predicted Answer:samsung un50eh5300---0.21428571428571427
Predicted Answer:samsung un65h6350---0.14285714285714285
Predicted Answer:samsung un50j5200a---0.14285714285714285
Predicted Answer:sony xbr65x800b---0.14285714285714285
Predicted Answer:samsung un60js7000---0.14285714285714285
Predicted Answer:samsung un55js8500f---0.21428571428571427
Predicted Answer:vizio d43-d2---0.07142857142857142
Predicted Answer:sony xbr65x900b---0.14285714285714285
Predicted Answer:sony xbr65x900c---0.21428571428571427
Predicted Answer:samsung un48ju6400---0.21428571428571427
Predicted Answer:sony xbr65hx929---0.14285714285714285
Predicted Answer:sony xbr55x850d---0.14285714285714285
